"objectIdFieldName","uniqueIdField__name","uniqueIdField__isSystemMaintained","globalIdFieldName","geometryType","spatialReference__wkid","spatialReference__latestWkid","transform__originPosition","transform__scale","transform__translate","fields__name","fields__type","fields__alias","fields__sqlType","fields__length","fields__domain","fields__defaultValue","exceededTransferLimit","features__attributes__OBJECTID","features__attributes__PID","features__attributes__Prop_Addr","features__attributes__Prop_Num","features__attributes__Prop_Dir","features__attributes__PropStreet","features__attributes__Prop_Zip","features__attributes__OwnerName","features__attributes__OwnerAddr","features__attributes__OwnerCity","features__attributes__OwnerState","features__attributes__OwnerZip","features__attributes__TaxPName","features__attributes__TaxPAddres","features__attributes__TaxPCity","features__attributes__TaxPState","features__attributes__TaxPZip","features__attributes__Homestead","features__attributes__TaxExempt","features__attributes__SEV","features__attributes__Zoning_Dis","features__attributes__WARDx","features__attributes__PRECINCTx","features__attributes__TAXSTATx","features__attributes__Land_Usex","features__attributes__ECF","features__attributes__OwnerCode","features__attributes__Class","features__attributes__ParcelTxt","features__attributes__PIDdash","features__attributes__HCond2014","features__attributes__CCond2013","features__attributes__HCond2012","features__attributes__DPVACT","features__attributes__DPVNOST","features__attributes__CenTract","features__attributes__CenBlock","features__attributes__lowmod_pct","features__attributes__MP_Landuse","features__attributes__DRAFT_Zone"
"","","","","","","","","","","OwnerState","esriFieldTypeString","OwnerState","sqlTypeOther","25","null","null","","11","4012304010","DUPONT ST","0"," ","DUPONT ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4012304010","40-12-304-010"," "," "," "," "," ","001500","1","0.8308"," "," "
"","","","","","","","","","","OwnerZip","esriFieldTypeInteger","OwnerZip","sqlTypeOther","","null","null","","12","4023227033","DURAND ST","0"," ","DURAND ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023227033","40-23-227-033"," "," "," "," "," ","003700","1","0.4697"," "," "
"","","","","","","","","","","TaxPName","esriFieldTypeString","TaxPName","sqlTypeOther","50","null","null","","13","4011329020","N CHEVROLET AVE","0","N","CHEVROLET AVE","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011329020","40-11-329-020"," "," "," "," "," ","001600","1","0.5354"," "," "
"","","","","","","","","","","TaxPAddres","esriFieldTypeString","TaxPAddres","sqlTypeOther","50","null","null","","14","4011331037","TIFFIN ST","0"," ","TIFFIN ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011331037","40-11-331-037"," "," "," "," "," ","001600","1","0.5354"," "," "
"","","","","","","","","","","TaxPCity","esriFieldTypeString","TaxPCity","sqlTypeOther","50","null","null","","15","4117183001","BROOKSIDE DR","0"," ","BROOKSIDE DR","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4117183001","41-17-183-001"," "," "," "," "," ","003000","3","0.2"," "," "
"","","","","","","","","","","TaxPState","esriFieldTypeString","TaxPState","sqlTypeOther","25","null","null","","16","4107230012","BENSON AVE","0"," ","BENSON AVE","48503","MICH STATE HWY COMM","BENSON AVE","FLINT","MI","48503","MICH STATE HWY COMM","BENSON AVE","FLINT","MI","48503","0","1","0","ROW","7","43","STATE ROAD","Public","000","State Owned","RW","4107230012","41-07-230-012"," "," "," "," "," ","002600","1","0.844"," "," "
"","","","","","","","","","","TaxPZip","esriFieldTypeInteger","TaxPZip","sqlTypeOther","","null","null","","17","4730459048","ROSEDALE AVE","0"," ","ROSEDALE AVE","48505","MICH STATE HWY COMM","ROSEDALE AVE","FLINT","MI","48505","MICH STATE HWY COMM","ROSEDALE AVE","FLINT","MI","48505","0","1","0","A-2","3","13","STATE ROAD","Public","135","State Owned","RW","4730459048","47-30-459-048"," "," "," "," "," ","001700","2","0.8808","Green Innovation","GI"
"","","","","","","","","","","Homestead","esriFieldTypeSmallInteger","Homestead","sqlTypeOther","","null","null","","18","4108427057","S DORT HWY","0","S","DORT HWY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4108427057","41-08-427-057"," "," "," "," "," ","003000","2","0.3614"," "," "
"","","","","","","","","","","TaxExempt","esriFieldTypeSmallInteger","TaxExempt","sqlTypeOther","","null","null","","19","4636104002","DUPONT ST","0"," ","DUPONT ST","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1"," ","CITY MISC","Public","000","City Owned","RW","4636104002","46-36-104-002"," "," "," "," "," ","000600","1","0.374"," "," "
"","","","","","","","","","","SEV","esriFieldTypeDouble","SEV","sqlTypeOther","","null","null","","20","4107252010","ROBERT T LONGWAY","0"," ","ROBERT T LONGWAY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4107252010","41-07-252-010"," "," "," "," "," ","002600","1","0.844"," "," "
"","","","","","","","","","","Zoning_Dis","esriFieldTypeString","Zoning_Dis","sqlTypeOther","5","null","null","","21","4015476032","SALISBURY AVE","0"," ","SALISBURY AVE","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4015476032","40-15-476-032"," "," "," "," "," ","003600","1","0.4847"," "," "
"","","","","","","","","","","WARDx","esriFieldTypeString","WARDx","sqlTypeOther","2","null","null","","22","4012155019","KIRK AVE","0"," ","KIRK AVE","48503","STATE OF MICHIGAN","KIRK AVE","FLINT","MI","48503","STATE OF MICHIGAN","KIRK AVE","FLINT","MI","48503","0","1","0","A-2","5"," ","STATE TAX","Public","325","State Owned","RW","4012155019","40-12-155-019"," "," "," "," "," ","001500","1","0.8308","Green Neighborhood"," "
"","","","","","","","","","","PRECINCTx","esriFieldTypeString","PRECINCTx","sqlTypeOther","3","null","null","","23","4012109001","DUPONT ST","0"," ","DUPONT ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4012109001","40-12-109-001"," "," "," "," "," ","001200","1","0.6854"," "," "
"","","","","","","","","","","TAXSTATx","esriFieldTypeString","TAXSTATx","sqlTypeOther","10","null","null","","24","4118132003","LIBERTY ST","0"," ","LIBERTY ST","48503","MICH STATE HWY COMM","LIBERTY ST","FLINT","MI","48503","MICH STATE HWY COMM","LIBERTY ST","FLINT","MI","48503","0","1","0","ROW","7"," ","STATE ROAD","Public","000","State Owned","RW","4118132003","41-18-132-003"," "," "," "," "," ","002800","2","0.5954"," "," "
"","","","","","","","","","","Land_Usex","esriFieldTypeString","Land_Usex","sqlTypeOther","25","null","null","","25","4733104063","BRANCH RD","0"," ","BRANCH RD","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4"," ","CITY MISC","Public","000","City Owned","RW","4733104063","47-33-104-063"," "," "," "," "," ","001900","3","0.6471"," "," "
"","","","","","","","","","","ECF","esriFieldTypeString","ECF","sqlTypeOther","3","null","null","","26","4635181010","W STEWART AVE","0","W","STEWART AVE","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","2"," ","CITY MISC","Public","000","City Owned","RW","4635181010","46-35-181-010"," "," "," "," "," ","000700","1","0.398"," "," "
"","","","","","","","","","","OwnerCode","esriFieldTypeString","OwnerCode","sqlTypeOther","25","null","null","","27","4013254002","W SECOND ST","0","W","SECOND ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4013254002","40-13-254-002"," "," "," "," "," ","003700","3","0.45"," "," "
"","","","","","","","","","","Class","esriFieldTypeString","Class","sqlTypeOther","2","null","null","","28","4023101023","BARNEY AVE","0"," ","BARNEY AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023101023","40-23-101-023"," "," "," "," "," ","003600","3","0.6711"," "," "
"","","","","","","","","","","ParcelTxt","esriFieldTypeString","ParcelTxt","sqlTypeOther","12","null","null","","29","4636152001","DUPONT ST","0"," ","DUPONT ST","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1"," ","CITY MISC","Public","000","City Owned","RW","4636152001","46-36-152-001"," "," "," "," "," ","000600","1","0.374"," "," "
"","","","","","","","","","","PIDdash","esriFieldTypeString","PIDdash","sqlTypeOther","13","null","null","","30","4013254009","W KEARSLEY ST","0","W","KEARSLEY ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4013254009","40-13-254-009"," "," "," "," "," ","003700","3","0.45"," "," "
"","","","","","","","","","","HCond2014","esriFieldTypeString","HCond2014","sqlTypeOther","254","null","null","","31","4636453015","E PASADENA AVE","0","E","PASADENA AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","B","3","15","CITY MISC","Public","000","City Owned","RW","4636453015","46-36-453-015"," "," "," "," "," ","000800","2","0.8"," "," "
"","","","","","","","","","","CCond2013","esriFieldTypeString","CCond2013","sqlTypeOther","254","null","null","","32","4012103017","COPEMAN BLVD","0"," ","COPEMAN BLVD","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","5"," ","CITY MISC","Public","000","City Owned","RW","4012103017","40-12-103-017"," "," "," "," "," ","001200","1","0.6854"," "," "
"","","","","","","","","","","HCond2012","esriFieldTypeString","HCond2012","sqlTypeOther","13","null","null","","33","4636205006","E BALTIMORE BLVD","0","E","BALTIMORE BLVD","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1","5","CITY MISC","Public","000","City Owned","RW","4636205006","46-36-205-006"," "," "," "," "," ","000600","3","0.7226"," "," "
"","","","","","","","","","","DPVACT","esriFieldTypeString","DPVACT","sqlTypeOther","1","null","null","","34","4108427059","ROBERT T LONGWAY","0"," ","ROBERT T LONGWAY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4108427059","41-08-427-059"," "," "," "," "," ","003000","2","0.3614"," "," "
"","","","","","","","","","","DPVNOST","esriFieldTypeString","DPVNOST","sqlTypeOther","1","null","null","","35","4117133015","LINWOOD AVE","0"," ","LINWOOD AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4117133015","41-17-133-015"," "," "," "," "," ","003000","3","0.2"," "," "
"","","","","","","","","","","CenTract","esriFieldTypeString","CenTract","sqlTypeOther","254","null","null","","36","4013326001","GLENWOOD AVE","0"," ","GLENWOOD AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4013326001","40-13-326-001"," "," "," "," "," ","003700","3","0.45"," "," "
"","","","","","","","","","","CenBlock","esriFieldTypeString","CenBlock","sqlTypeOther","254","null","null","","37","4635180008","W STEWART AVE","0","W","STEWART AVE","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","2","8","CITY MISC","Public","000","City Owned","RW","4635180008","46-35-180-008"," "," "," "," "," ","000700","1","0.398"," "," "
"","","","","","","","","","","lowmod_pct","esriFieldTypeDouble","lowmod_pct","sqlTypeOther","","null","null","","38","4015476033","SALISBURY AVE","0"," ","SALISBURY AVE","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4015476033","40-15-476-033"," "," "," "," "," ","003600","1","0.4847"," "," "
"","","","","","","","","","","MP_Landuse","esriFieldTypeString","MP_Landuse","sqlTypeOther","25","null","null","","39","4011478009","BAGLEY ST","0"," ","BAGLEY ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011478009","40-11-478-009"," "," "," "," "," ","001600","2","0.4272"," "," "
"","","","","","","","","","","DRAFT_Zone","esriFieldTypeString","DRAFT_Zone","sqlTypeOther","4","null","null","","40","4011477040","FLUSHING RD","0"," ","FLUSHING RD","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011477040","40-11-477-040"," "," "," "," "," ","001600","2","0.4272"," "," "
"","","","","","","","","","","","","","","","","","","41","4116427017","EVERGREEN PKWY","0"," ","EVERGREEN PKWY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4116427017","41-16-427-017"," "," "," "," "," ","003100","1","0.3404"," ","TN-2"
"","","","","","","","","","","","","","","","","","","42","4105180001","DAKOTA AVE","0"," ","DAKOTA AVE","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","B","3","19","CITY MISC","Public","000","City Owned","RW","4105180001","41-05-180-001"," "," "," "," "," ","002200","3","0.86"," "," "
"","","","","","","","","","","","","","","","","","","43","4011329046","BAGLEY ST","0"," ","BAGLEY ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011329046","40-11-329-046"," "," "," "," "," ","001600","1","0.5354"," "," "
"","","","","","","","","","","","","","","","","","","44","4636205016","E THACKERY AVE","0","E","THACKERY AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1","5","CITY MISC","Public","175","City Owned","RW","4636205016","46-36-205-016"," "," "," "," "," ","000600","3","0.7226"," "," "
"","","","","","","","","","","","","","","","","","","45","4106452001","E HAMILTON AVE","0","E","HAMILTON AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4106452001","41-06-452-001"," "," "," "," "," ","013600","1","0.6818"," "," "
"","","","","","","","","","","","","","","","","","","46","4011376036","PADUCAH ST","0"," ","PADUCAH ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011376036","40-11-376-036"," "," "," "," "," ","001600","1","0.5354"," "," "
"","","","","","","","","","","","","","","","","","","47","4117430037","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4117430037","41-17-430-037"," "," "," "," "," ","003200","3","0.2857"," "," "
"","","","","","","","","","","","","","","","","","","48","4011377038","TYRONE ST","0"," ","TYRONE ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011377038","40-11-377-038"," "," "," "," "," ","001600","1","0.5354"," "," "
"","","","","","","","","","","","","","","","","","","49","4635182009","W STEWART AVE","0","W","STEWART AVE","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","2","9","CITY MISC","Public","000","City Owned","RW","4635182009","46-35-182-009"," "," "," "," "," ","000700","1","0.398"," "," "
"","","","","","","","","","","","","","","","","","","50","4104201006","WYOMING AVE","0"," ","WYOMING AVE","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4"," ","CITY MISC","Public","000","City Owned","RW","4104201006","41-04-201-006"," "," "," "," "," ","002400","3","0.4326"," "," "
"","","","","","","","","","","","","","","","","","","51","4117426022","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4117426022","41-17-426-022"," "," "," "," "," ","003200","3","0.2857"," "," "
"","","","","","","","","","","","","","","","","","","52","4635251019","FLEMING RD","0"," ","FLEMING RD","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","2","9","CITY MISC","Public","000","City Owned","RW","4635251019","46-35-251-019"," "," "," "," "," ","000500","3","0.5315"," "," "
"","","","","","","","","","","","","","","","","","","53","4116301042","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4116301042","41-16-301-042"," "," "," "," "," ","003100","2","0.6652"," "," "
"","","","","","","","","","","","","","","","","","","54","4105177041","LEITH ST","0"," ","LEITH ST","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","3","19","CITY MISC","Public","000","City Owned","RW","4105177041","41-05-177-041"," "," "," "," "," ","002200","1","0.678"," "," "
"","","","","","","","","","","","","","","","","","","55","4107253002","BURTON ST","0"," ","BURTON ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4107253002","41-07-253-002"," "," "," "," "," ","002600","1","0.844"," "," "
"","","","","","","","","","","","","","","","","","","56","4107406022","HUNT LN","0"," ","HUNT LN","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","COUNTY","Public","000","City Owned","RW","4107406022","41-07-406-022"," "," "," "," "," ","002900","1","0.7317"," "," "
"","","","","","","","","","","","","","","","","","","57","4117152027","LAPEER ST","0"," ","LAPEER ST","48503","MICH STATE HWY COMM","LAPEER ST","FLINT","MI","48503","MICH STATE HWY COMM","LAPEER ST","FLINT","MI","48503","0","1","0","ROW","7"," ","STATE ROAD","Public","000","State Owned","RW","4117152027","41-17-152-027"," "," "," "," "," ","002900","2","0.6596"," "," "
"","","","","","","","","","","","","","","","","","","58","4121351012","E ATHERTON RD","0","E","ATHERTON RD","48507","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","9"," ","CITY MISC","Public","000","City Owned","RW","4121351012","41-21-351-012"," "," "," "," "," ","003400","2","0.8315"," "," "
